sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,
Joint,LINK,equivClass,,Q9644,LINK,joint,,diegomoussallem,,,,,
LakeBodyOfWater,LINK,equivClass,,Q23397,LINK,lake,,diegomoussallem,,,,,
Landform,LINK,equivClass,,Q271669,LINK,landform,,diegomoussallem,,,,,
LandmarksOrHistoricalBuildings,LINK,equivClass,,Q2319498,LINK,landmark,,diegomoussallem,,,,,
Language,LINK,equivClass,,Q34770,LINK,language,,diegomoussallem,,,,,
Language,LINK,exactMatch,,Q34770,LINK,language,,diegomoussallem,,,,,
LegalService,LINK,equivClass,,Q1494322,LINK,legal services,,diegomoussallem,,,,,
leiCode,LINK,equivProp,,P1278,LINK,Legal Entity ID,,diegomoussallem,,,,,
Library,LINK,equivClass,,Q7075,LINK,library,,diegomoussallem,,,,,
license,LINK,equivProp,,P275,LINK,license,,diegomoussallem,,,,,
license,LINK,exactMatch,,Q79719,LINK,license,,,diegomoussallem,,it is not an exact match,,
Ligament,LINK,equivClass,,Q39888,LINK,ligament,,diegomoussallem,,,,,
LiquorStore,LINK,equivClass,,Q2632011,LINK,liquor store,,diegomoussallem,,,,,
location,LINK,equivProp,,P276,LINK,location,,diegomoussallem,,,,,
location,LINK,exactMatch,,Q2221906,LINK,geographical point,,diegomoussallem,,,,,
Locksmith,LINK,equivClass,,Q3479990,LINK,locksmith,,,diegomoussallem,,WD refers to persons,,
LodgingBusiness,LINK,exactMatch,,Q5056668,LINK,lodging,,diegomoussallem,,,,,
logo,LINK,equivProp,,P154,LINK,logo image,,diegomoussallem,,,,,
logo,LINK,exactMatch,,Q1886349,LINK,logo,,diegomoussallem,,,,,
LymphaticVessel,LINK,equivClass,,Q11238641,LINK,lymphatic vessel,,diegomoussallem,,,,,
Map,LINK,equivClass,,Q4006,LINK,map,,diegomoussallem,,,,,
Mass,LINK,equivClass,,Q11423,LINK,mass,,diegomoussallem,,,,,
MedicalClinic,LINK,equivClass,,Q1774898,LINK,clinic,,diegomoussallem,,,,,
MedicalCode,LINK,equivClass,,Q27165776,LINK,medical code,,diegomoussallem,,,,,
MedicalDevice,LINK,equivClass,,Q6554101,LINK,medical device,,diegomoussallem,,,,,
MedicalGuideline,LINK,equivClass,,Q878041,LINK,Medical guideline,,diegomoussallem,,,,,
MedicalOrganization,LINK,equivClass,,Q4287745,LINK,medical organization,,diegomoussallem,,,,,
MedicalProcedure,LINK,equivClass,,Q796194,LINK,medical procedure,,diegomoussallem,,,,,
MedicalSign,LINK,equivClass,,Q1441305,LINK,medical sign,,diegomoussallem,,,,,
MedicalSpecialty,LINK,equivClass,,Q930752,LINK,medical specialty,,diegomoussallem,,,,,
MedicalStudy,LINK,equivClass,,Q27166169,LINK,medical study,,,,diegomoussallem,no description in WD,,
MedicalSymptom,LINK,equivClass,,Q169872,LINK,symptom,,diegomoussallem,,,,,
MedicalTest,LINK,equivClass,,Q2671652,LINK,medical test,,diegomoussallem,,,,,
MedicalTrial,LINK,equivClass,,Q27166192,LINK,medical trial,,,,diegomoussallem,no description in WD,,
MeetingRoom,LINK,equivClass,,Q3469909,LINK,conference room,,diegomoussallem,,,,,
member,LINK,equivProp,,P527,LINK,has part,,diegomoussallem,,,,,
memberOf,LINK,equivProp,,P463,LINK,member of,,diegomoussallem,,,,,
Menu,LINK,equivClass,,Q658274,LINK,menu,,diegomoussallem,,,,,
menu,LINK,exactMatch,,Q658274,LINK,menu,,diegomoussallem,,,,,
