pLabel,p,equivclass,equivprop,sub,super
haircutting establishment,http://www.wikidata.org/entity/Q27038995,http://schema.org/HairSalon,,,
health club,http://www.wikidata.org/entity/Q1065656,http://schema.org/HealthClub,,,
Nail salon,http://www.wikidata.org/entity/Q8007048,http://schema.org/NailSalon,,,
tattoo parlor,http://www.wikidata.org/entity/Q27038997,http://schema.org/TattooParlor,,,
electrician,http://www.wikidata.org/entity/Q165029,http://schema.org/Electrician,,,
model,http://www.wikidata.org/entity/Q17444171,http://schema.org/ProductModel,,,
bus,http://www.wikidata.org/entity/Q5638,http://schema.org/BusOrCoach,,,
Boolean data type,http://www.wikidata.org/entity/Q520777,http://schema.org/Boolean,,,
false,http://www.wikidata.org/entity/Q5432619,http://schema.org/False,,,
true,http://www.wikidata.org/entity/Q16751793,http://schema.org/True,,,
Date,http://www.wikidata.org/entity/Q3016931,http://schema.org/Date,,,
number,http://www.wikidata.org/entity/Q11563,http://schema.org/Number,,,
floating point number,http://www.wikidata.org/entity/Q27150272,http://schema.org/Float,,,
string,http://www.wikidata.org/entity/Q184754,http://schema.org/Text,,,
timestamp,http://www.wikidata.org/entity/Q186885,http://schema.org/Time,,,
course,http://www.wikidata.org/entity/Q600134,http://schema.org/Course,,,
comic series,http://www.wikidata.org/entity/Q27164577,http://schema.org/ComicSeries,,,
quotation,http://www.wikidata.org/entity/Q206287,http://pending.schema.org/Quotation,,,
thesis,http://www.wikidata.org/entity/Q1266946,http://schema.org/Thesis,,,
medical examination,http://www.wikidata.org/entity/Q835153,http://schema.org/PhysicalExam,,,
anatomical structure,http://www.wikidata.org/entity/Q4936952,http://schema.org/AnatomicalStructure,,,
bone,http://www.wikidata.org/entity/Q265868,http://schema.org/Bone,,,
joint,http://www.wikidata.org/entity/Q9644,http://schema.org/Joint,,,
ligament,http://www.wikidata.org/entity/Q39888,http://schema.org/Ligament,,,
muscle,http://www.wikidata.org/entity/Q7365,http://schema.org/Muscle,,,
nerve,http://www.wikidata.org/entity/Q9620,http://schema.org/Nerve,,,
vessel,http://www.wikidata.org/entity/Q382386,http://schema.org/Vessel,,,
artery,http://www.wikidata.org/entity/Q9655,http://schema.org/Artery,,,
lymphatic vessel,http://www.wikidata.org/entity/Q11238641,http://schema.org/LymphaticVessel,,,
veins,http://www.wikidata.org/entity/Q9609,http://schema.org/Vein,,,
infectious disease,http://www.wikidata.org/entity/Q18123741,http://schema.org/InfectiousDisease,,,
medical sign,http://www.wikidata.org/entity/Q1441305,http://schema.org/MedicalSign,,,
vital signs,http://www.wikidata.org/entity/Q1067560,http://schema.org/VitalSign,,,
symptom,http://www.wikidata.org/entity/Q169872,http://schema.org/MedicalSymptom,,,
medical device,http://www.wikidata.org/entity/Q6554101,http://schema.org/MedicalDevice,,,
Medical guideline,http://www.wikidata.org/entity/Q878041,http://schema.org/MedicalGuideline,,,
medical code,http://www.wikidata.org/entity/Q27165776,http://schema.org/MedicalCode,,,
medical procedure,http://www.wikidata.org/entity/Q796194,http://schema.org/MedicalProcedure,,,
diagnostic procedure,http://www.wikidata.org/entity/Q177719,http://schema.org/DiagnosticProcedure,,,
palliative procedure,http://www.wikidata.org/entity/Q27165812,http://schema.org/PalliativeProcedure,,,
surgical procedure,http://www.wikidata.org/entity/Q15636229,http://schema.org/SurgicalProcedure,,,
occupational therapy,http://www.wikidata.org/entity/Q380141,http://schema.org/OccupationalTherapy,,,
physiotherapy,http://www.wikidata.org/entity/Q186005,http://schema.org/PhysicalTherapy,,,
radiation therapy,http://www.wikidata.org/entity/Q180507,http://schema.org/RadiationTherapy,,,
respiratory therapy,http://www.wikidata.org/entity/Q19776279,http://schema.org/RespiratoryTherapy,,,
psychological treatment,http://www.wikidata.org/entity/Q27166103,http://schema.org/PsychologicalTreatment,,,
medical study,http://www.wikidata.org/entity/Q27166169,http://schema.org/MedicalStudy,,,
medical trial,http://www.wikidata.org/entity/Q27166192,http://schema.org/MedicalTrial,,,
medical test,http://www.wikidata.org/entity/Q2671652,http://schema.org/MedicalTest,,,
blood test,http://www.wikidata.org/entity/Q27166236,http://schema.org/BloodTest,,,
substance,http://www.wikidata.org/entity/Q27166344,http://schema.org/Substance,,,
dietary supplement,http://www.wikidata.org/entity/Q645858,http://schema.org/DietarySupplement,,,
drug,http://www.wikidata.org/entity/Q8386,http://schema.org/Drug,,,
Superficial anatomy,http://www.wikidata.org/entity/Q3545415,http://schema.org/SuperficialAnatomy,,,
Community health,http://www.wikidata.org/entity/Q3473024,http://schema.org/CommunityHealth,,,
dermatology,http://www.wikidata.org/entity/Q171171,http://schema.org/Dermatology,,,
emergency,http://www.wikidata.org/entity/Q5070802,http://schema.org/Emergency,,,
geriatrics,http://www.wikidata.org/entity/Q10384,http://schema.org/Geriatric,,,
gynaecology,http://www.wikidata.org/entity/Q1221899,http://schema.org/Gynecologic,,,
midwifery,http://www.wikidata.org/entity/Q20862341,http://schema.org/Midwifery,,,
nursing,http://www.wikidata.org/entity/Q121176,http://schema.org/Nursing,,,
obstetrics,http://www.wikidata.org/entity/Q5284418,http://schema.org/Obstetric,,,
oncology,http://www.wikidata.org/entity/Q162555,http://schema.org/Oncologic,,,
optician,http://www.wikidata.org/entity/Q1996635,http://schema.org/Optician,,,
optometry,http://www.wikidata.org/entity/Q618211,http://schema.org/Optometric,,,
physiotherapy,http://www.wikidata.org/entity/Q186005,http://schema.org/Physiotherapy,,,
plastic surgery,http://www.wikidata.org/entity/Q182442,http://schema.org/PlasticSurgery,,,
podiatry,http://www.wikidata.org/entity/Q18011356,http://schema.org/Podiatric,,,
primary care,http://www.wikidata.org/entity/Q3259956,http://schema.org/PrimaryCare,,,
psychiatry,http://www.wikidata.org/entity/Q7867,http://schema.org/Psychiatric,,,
public health,http://www.wikidata.org/entity/Q189603,http://schema.org/PublicHealth,,,
medical clinic,http://www.wikidata.org/entity/Q27166452,http://schema.org/MedicalClinic,,,
veterinary medicine,http://www.wikidata.org/entity/Q170201,http://schema.org/VeterinaryCare,,,
article,http://www.wikidata.org/entity/Q191067,http://schema.org/Article,,,
event,http://www.wikidata.org/entity/Q1656682,http://schema.org/Event,,,
episode,http://www.wikidata.org/entity/Q1983062,http://schema.org/Episode,,,
television series,http://www.wikidata.org/entity/Q5398426,http://schema.org/TVSeries,,,
musical composition,http://www.wikidata.org/entity/Q207628,http://schema.org/MusicComposition,,,
radio series,http://www.wikidata.org/entity/Q14623351,http://schema.org/RadioSeries,,,
administrative territorial entity,http://www.wikidata.org/entity/Q56061,http://schema.org/AdministrativeArea,,,
administrative region,http://www.wikidata.org/entity/Q3455524,http://schema.org/AdministrativeArea,,,
café,http://www.wikidata.org/entity/Q30022,http://schema.org/CafeOrCoffeeShop,,,
church,http://www.wikidata.org/entity/Q16970,http://schema.org/Church,,,
city,http://www.wikidata.org/entity/Q515,http://schema.org/City,,,
creative work,http://www.wikidata.org/entity/Q17537576,http://schema.org/CreativeWork,,,
image,http://www.wikidata.org/entity/Q478798,http://schema.org/ImageObject,,,
image file,http://www.wikidata.org/entity/Q24063789,http://schema.org/ImageObject,,,
photograph,http://www.wikidata.org/entity/Q125191,http://schema.org/Photograph,,,
geographic location,http://www.wikidata.org/entity/Q2221906,http://schema.org/Place,,,
place of worship,http://www.wikidata.org/entity/Q1370598,http://schema.org/PlaceOfWorship,,,
entity,http://www.wikidata.org/entity/Q35120,http://schema.org/Thing,,,
object,http://www.wikidata.org/entity/Q17553950,http://schema.org/Thing,,,
web page,http://www.wikidata.org/entity/Q36774,http://schema.org/WebPage,,,
Map,http://www.wikidata.org/entity/Q4006,http://schema.org/Map,,,
audience,http://www.wikidata.org/entity/Q211198,http://schema.org/Audience,,,
product,http://www.wikidata.org/entity/Q2424752,http://schema.org/Product,,,
service,http://www.wikidata.org/entity/Q7406919,http://schema.org/Service,,,
brand,http://www.wikidata.org/entity/Q431289,http://schema.org/Brand,,,
Uniform Resource Locator,http://www.wikidata.org/entity/Q42253,http://schema.org/URL,,,
visual artwork,http://www.wikidata.org/entity/Q4502142,http://schema.org/VisualArtwork,,,
integer,http://www.wikidata.org/entity/Q12503,http://schema.org/Integer,,,
Integer,http://www.wikidata.org/entity/Q729138,http://schema.org/Integer,,,
